time,temperature,relative_humidity,surface_pressure,wind_speed,wind_direction,pm10,pm25,no2,co,hour,day_of_week,is_weekend,is_rush_hour,wind_alignment_nh24,wind_alignment_industrial,stagnation_index,grap_active
2026-07-27 00:00:00,29.7,88,977.3,2.8,130,92.9,86.4,70.7,1713.0,0,0,0,0,0.0872,0.9962,0.1544,1
2026-07-27 01:00:00,29.3,90,976.6,1.9,146,95.9,89.6,72.4,1758.0,1,0,0,0,0.0,0.9816,0.2069,1
2026-07-27 02:00:00,29.1,91,976.2,2.6,192,97.8,91.0,72.6,1747.0,2,0,0,0,0.0,0.5446,0.1685,1
2026-07-27 03:00:00,28.9,91,976.3,2.7,180,98.7,92.2,70.5,1646.0,3,0,0,0,0.0,0.7071,0.164,1
2026-07-27 04:00:00,28.8,91,976.3,3.1,183,96.9,90.8,67.1,1489.0,4,0,0,0,0.0,0.6691,0.148,1
2026-07-27 05:00:00,28.9,93,976.3,2.6,12,86.6,82.7,58.3,1319.0,5,0,0,0,0.8387,0.0,0.1722,1
2026-07-27 06:00:00,29.0,92,976.4,1.8,6,87.8,84.1,54.3,1138.0,6,0,0,0,0.7771,0.0,0.219,1
2026-07-27 07:00:00,30.0,88,976.8,1.2,39,84.8,79.2,48.4,945.0,7,0,0,0,0.9945,0.0,0.2667,1
2026-07-27 08:00:00,31.6,77,976.9,0.2,90,73.6,65.2,41.4,780.0,8,0,0,1,0.7071,0.7071,0.4278,1
2026-07-27 09:00:00,32.4,71,976.8,1.9,229,72.2,55.9,32.1,653.0,9,0,0,1,0.0,0.0,0.1632,1
2026-07-27 10:00:00,33.2,66,977.1,2.3,274,66.4,50.3,21.7,553.0,10,0,0,1,0.0,0.0,0.1333,1
2026-07-27 11:00:00,34.4,54,976.7,3.2,223,59.8,46.3,13.9,490.0,11,0,0,0,0.0,0.0349,0.0857,1
2026-07-27 12:00:00,35.0,52,976.7,4.2,227,60.3,47.5,10.6,470.0,12,0,0,0,0.0,0.0,0.0667,1
