time,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,wind_speed_10m,wind_direction_10m,wind_gusts_10m,surface_pressure,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,hour,day_of_week,month,is_weekend,season,season_Autumn,season_Monsoon,season_Spring,season_Summer,season_Winter,traffic_proxy,dispersion_factor,wind_alignment_nh24,wind_alignment_industrial,wind_alignment_commercial,wind_alignment_residential,nh24_impact_index,industrial_impact_index,commercial_impact_index,residential_clean_index,pm25_rolling_24h,grap_active
2024-01-01 00:00:00,7.1,98,6.8,0.0,5.4,352,6.8,994.0,275.99,205.37999999999997,2849.0,87.2,99.1,12.0,0,0,1,0,Winter,0,0,0,0,1,0.1,0.15625,0.6018150231520479,-0.798635510047293,-0.13917310096006583,-0.292371704722736,0.009403359736750749,0.0,0.0,0.0,205.37999999999997,1
2024-01-01 01:00:00,6.6,99,6.4,0.0,5.4,340,6.8,993.8,245.18,182.56,2523.0,76.9,74.0,16.0,1,0,1,0,Winter,0,0,0,0,1,0.1,0.15625,0.4226182617406996,-0.9063077870366498,-0.34202014332566855,-0.08715574274765801,0.006603410339698431,0.0,0.0,0.0,193.96999999999997,1
2024-01-01 02:00:00,6.0,100,5.9,0.0,5.8,330,7.6,993.6,221.52,164.92,2215.0,67.0,53.6,20.0,2,0,1,0,Winter,0,0,0,0,1,0.1,0.14705882352941177,0.2588190451025203,-0.9659258262890684,-0.5000000000000004,0.08715574274765901,0.00380616242797824,0.0,0.0,0.050550330793642226,184.28666666666663,1
2024-01-01 03:00:00,5.7,100,5.7,0.0,6.7,324,8.6,993.6,202.8,150.92,1932.0,56.9,42.1,24.0,3,0,1,0,Winter,0,0,0,0,1,0.1,0.12987012987012986,0.15643446504023067,-0.9876883405951378,-0.5877852522924732,0.19080899537654536,0.002031616429093905,0.0,0.0,0.12784202690228538,175.945,1
2024-01-01 04:00:00,6.1,100,6.0,0.0,4.9,324,8.6,993.8,188.24,140.14,1666.0,47.3,35.3,28.0,4,0,1,0,Winter,0,0,0,0,1,0.1,0.1694915254237288,0.15643446504023067,-0.9876883405951378,-0.5877852522924732,0.19080899537654536,0.0026514316108513674,0.0,0.0,0.09349640773450724,168.784,1
2024-01-01 05:00:00,6.3,100,6.3,0.0,4.3,318,7.9,993.8,166.53,124.46,1315.0,35.6,28.1,31.0,5,0,1,0,Winter,0,0,0,0,1,0.1,0.18867924528301888,0.052335956242943946,-0.9986295347545738,-0.6691306063588581,0.292371704722737,0.0009874708725083764,0.0,0.0,0.12571983303077688,161.39666666666665,1
2024-01-01 06:00:00,9.4,93,8.2,0.0,4.6,342,11.2,995.2,164.06,122.91999999999999,1393.0,36.3,31.0,27.0,6,0,1,0,Winter,0,0,0,0,1,0.1,0.17857142857142858,0.45399049973954664,-0.8910065241883679,-0.30901699437494756,-0.12186934340514692,0.008106973209634761,0.0,0.0,0.0,155.9,1
2024-01-01 07:00:00,9.4,93,8.3,0.0,4.0,350,9.0,995.6,171.34000000000003,128.1,1497.0,37.1,35.0,24.0,7,0,1,0,Winter,0,0,0,0,1,0.1,0.2,0.573576436351046,-0.8191520442889918,-0.17364817766693033,-0.2588190451025204,0.011471528727020923,0.0,0.0,0.0,152.42499999999998,1
2024-01-01 08:00:00,10.2,90,8.7,0.0,3.7,349,9.7,996.3,174.33,130.33999999999997,1548.0,37.3,37.8,31.0,8,0,1,0,Winter,0,0,0,0,1,1.0,0.2127659574468085,0.559192903470747,-0.8290375725550415,-0.1908089953765446,-0.24192189559966756,0.11897721350441426,0.0,0.0,0.0,149.9711111111111,0
2024-01-01 09:00:00,12.1,80,8.6,0.0,5.5,349,14.4,996.9,177.97000000000003,133.28,1514.0,36.7,37.4,59.0,9,0,1,0,Winter,0,0,0,0,1,1.0,0.15384615384615385,0.559192903470747,-0.8290375725550415,-0.1908089953765446,-0.24192189559966756,0.086029677457038,0.0,0.0,0.0,148.302,0
2024-01-01 10:00:00,13.2,72,8.2,0.0,4.0,350,14.8,996.9,171.34000000000003,128.38,1427.0,35.5,35.8,98.0,10,0,1,0,Winter,0,0,0,0,1,1.0,0.2,0.573576436351046,-0.8191520442889918,-0.17364817766693033,-0.2588190451025204,0.11471528727020922,0.0,0.0,0.0,146.49090909090907,0
2024-01-01 11:00:00,14.3,69,8.6,0.0,2.9,330,14.0,996.2,163.41,122.21999999999998,1304.0,33.2,37.2,132.0,11,0,1,0,Winter,0,0,0,0,1,0.5,0.25641025641025644,0.2588190451025203,-0.9659258262890684,-0.5000000000000004,0.08715574274765901,0.03318192885929748,0.0,0.0,0.025275165396821113,144.46833333333333,0
2024-01-01 12:00:00,15.4,64,8.8,0.0,2.8,310,13.7,995.1,142.87,105.98,1104.0,27.6,45.4,161.0,12,0,1,0,Winter,0,0,0,0,1,0.5,0.2631578947368421,-0.08715574274765825,-0.9961946980917455,-0.766044443118978,0.42261826174069983,0.0,0.0,0.0,0.11833311328739596,141.5076923076923,0
2024-01-01 13:00:00,16.4,62,9.1,0.0,4.4,305,15.1,994.0,119.60000000000001,88.05999999999999,867.0,21.0,56.5,184.0,13,0,1,0,Winter,0,0,0,0,1,0.5,0.18518518518518517,-0.17364817766693033,-0.984807753012208,-0.8191520442889918,0.5000000000000003,0.0,0.0,0.0,0.22000000000000014,137.69,0
2024-01-01 14:00:00,16.9,60,9.1,0.0,6.2,306,16.9,993.1,110.5,80.5,730.0,19.7,63.8,192.0,14,0,1,0,Winter,0,0,0,0,1,0.5,0.1388888888888889,-0.15643446504023104,-0.9876883405951377,-0.8090169943749475,0.4848096202463375,0.0,0.0,0.0,0.3005819645527293,133.87733333333333,0
2024-01-01 15:00:00,16.9,61,9.3,0.0,8.2,311,18.0,992.7,108.94,79.24,742.0,27.5,62.2,173.0,15,0,1,0,Winter,0,0,0,0,1,0.5,0.10869565217391305,-0.06975647374412558,-0.9975640502598242,-0.7547095802227721,0.4067366430758008,0.0,0.0,0.0,0.3335240473221567,130.46249999999998,0
2024-01-01 16:00:00,16.1,64,9.2,0.0,8.4,317,18.0,992.4,110.5,80.36,854.0,40.6,56.7,138.0,16,0,1,0,Winter,0,0,0,0,1,0.5,0.10638297872340426,0.03489949670250128,-0.9993908270190958,-0.6819983600624983,0.30901699437494745,0.0018563562075798554,0.0,0.0,0.25957427527495586,127.51529411764704,0
2024-01-01 17:00:00,13.1,79,9.5,0.0,7.1,319,15.1,992.3,176.8,128.1,970.0,50.8,49.9,90.0,17,0,1,0,Winter,0,0,0,0,1,1.0,0.1234567901234568,0.06975647374412522,-0.9975640502598242,-0.6560590289905073,0.2756373558169996,0.008611910338780891,0.0,0.0,0.1957025226300697,127.54777777777775,0
