time,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,wind_speed_10m,wind_direction_10m,wind_gusts_10m,surface_pressure,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone
2024-01-01 00:00:00,-5.1,59,-11.9,0.0,9.7,207,14.8,1027.3,268.2,187.7,2891.0,61.0,201.4,0.0
2024-01-01 01:00:00,-5.3,66,-10.8,0.0,10.8,206,16.6,1026.9,222.6,155.5,2438.0,58.9,161.3,0.0
2024-01-01 02:00:00,-5.6,70,-10.2,0.0,10.5,202,16.6,1026.4,187.7,130.9,2068.0,56.8,129.4,0.0
2024-01-01 03:00:00,-5.8,72,-10.1,0.0,10.0,201,16.2,1025.9,163.9,114.3,1813.0,54.6,109.9,0.0
2024-01-01 04:00:00,-6.0,73,-10.1,0.0,8.4,200,15.1,1025.0,148.5,103.6,1641.0,52.4,98.6,0.0
2024-01-01 05:00:00,-6.3,75,-10.0,0.0,5.5,203,12.6,1024.5,140.6,98.0,1635.0,50.5,99.9,0.0
2024-01-01 06:00:00,-6.5,76,-10.0,0.0,6.8,212,9.4,1024.3,144.8,101.0,1955.0,48.9,125.1,0.0
2024-01-01 07:00:00,-6.6,77,-9.9,0.0,5.5,203,7.6,1024.0,190.5,133.2,2442.0,47.7,162.9,0.0
2024-01-01 08:00:00,-6.4,76,-9.9,0.0,4.6,219,6.8,1023.9,296.2,206.8,3067.0,46.5,222.2,0.0
2024-01-01 09:00:00,-6.7,78,-9.9,0.0,4.8,257,9.7,1024.1,306.4,214.2,2693.0,46.5,196.2,2.0
2024-01-01 10:00:00,-5.0,69,-9.8,0.0,3.6,264,11.9,1024.0,191.4,133.2,2172.0,46.5,160.1,5.0
2024-01-01 11:00:00,-3.3,62,-9.6,0.0,2.6,254,12.2,1023.5,161.1,112.0,1751.0,47.1,130.9,8.0
2024-01-01 12:00:00,-1.8,55,-9.6,0.0,3.9,202,13.7,1021.8,143.4,99.7,1505.0,48.6,114.6,10.0
2024-01-01 13:00:00,-0.2,49,-9.6,0.0,8.3,198,18.4,1020.3,131.3,91.0,1357.0,50.6,105.2,12.0
