time,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,wind_speed_10m,wind_direction_10m,wind_gusts_10m,surface_pressure,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone
2024-01-01 00:00:00,7.1,98,6.8,0.0,5.4,352,6.8,994.0,212.3,146.7,2849.0,87.2,99.1,12.0
2024-01-01 01:00:00,6.6,99,6.4,0.0,5.4,340,6.8,993.8,188.6,130.4,2523.0,76.9,74.0,16.0
2024-01-01 02:00:00,6.0,100,5.9,0.0,5.8,330,7.6,993.6,170.4,117.8,2215.0,67.0,53.6,20.0
2024-01-01 03:00:00,5.7,100,5.7,0.0,6.7,324,8.6,993.6,156.0,107.8,1932.0,56.9,42.1,24.0
2024-01-01 04:00:00,6.1,100,6.0,0.0,4.9,324,8.6,993.8,144.8,100.1,1666.0,47.3,35.3,28.0
2024-01-01 05:00:00,6.3,100,6.3,0.0,4.3,318,7.9,993.8,128.1,88.9,1315.0,35.6,28.1,31.0
2024-01-01 06:00:00,9.4,93,8.2,0.0,4.6,342,11.2,995.2,126.2,87.8,1393.0,36.3,31.0,27.0
2024-01-01 07:00:00,9.4,93,8.3,0.0,4.0,350,9.0,995.6,131.8,91.5,1497.0,37.1,35.0,24.0
2024-01-01 08:00:00,10.2,90,8.7,0.0,3.7,349,9.7,996.3,134.1,93.1,1548.0,37.3,37.8,31.0
2024-01-01 09:00:00,12.1,80,8.6,0.0,5.5,349,14.4,996.9,136.9,95.2,1514.0,36.7,37.4,59.0
2024-01-01 10:00:00,13.2,72,8.2,0.0,4.0,350,14.8,996.9,131.8,91.7,1427.0,35.5,35.8,98.0
2024-01-01 11:00:00,14.3,69,8.6,0.0,2.9,330,14.0,996.2,125.7,87.3,1304.0,33.2,37.2,132.0
2024-01-01 12:00:00,15.4,64,8.8,0.0,2.8,310,13.7,995.1,109.9,75.7,1104.0,27.6,45.4,161.0
2024-01-01 13:00:00,16.4,62,9.1,0.0,4.4,305,15.1,994.0,92.0,62.9,867.0,21.0,56.5,184.0
2024-01-01 14:00:00,16.9,60,9.1,0.0,6.2,306,16.9,993.1,85.0,57.5,730.0,19.7,63.8,192.0
2024-01-01 15:00:00,16.9,61,9.3,0.0,8.2,311,18.0,992.7,83.8,56.6,742.0,27.5,62.2,173.0
2024-01-01 16:00:00,16.1,64,9.2,0.0,8.4,317,18.0,992.4,85.0,57.4,854.0,40.6,56.7,138.0
2024-01-01 17:00:00,13.1,79,9.5,0.0,7.1,319,15.1,992.3,136.0,91.5,970.0,50.8,49.9,90.0
2024-01-01 18:00:00,11.0,86,8.8,0.0,6.5,326,10.4,993.8,153.7,104.3,1223.0,58.1,57.6,71.0
2024-01-01 19:00:00,9.9,90,8.4,0.0,6.6,319,10.4,994.3,170.4,116.2,1580.0,68.2,68.5,45.0
2024-01-01 20:00:00,8.9,93,7.8,0.0,6.1,310,10.1,994.5,189.5,129.9,1900.0,76.1,77.9,24.0
2024-01-01 21:00:00,8.2,95,7.4,0.0,6.1,310,9.4,994.8,207.7,142.5,2176.0,80.8,86.4,14.0
2024-01-01 22:00:00,7.4,96,6.8,0.0,6.1,315,9.4,994.7,222.6,153.2,2415.0,83.3,93.5,11.0
2024-01-01 23:00:00,7.1,97,6.6,0.0,6.1,320,9.7,994.4,223.1,154.1,2503.0,81.9,93.4,10.0
2024-01-02 00:00:00,6.3,97,5.9,0.0,6.6,319,9.4,994.1,204.9,141.6,2339.0,74.3,80.6,13.0
2024-01-02 01:00:00,5.9,97,5.5,0.0,6.6,319,9.4,993.5,184.4,127.6,2024.0,62.9,60.7,18.0
2024-01-02 02:00:00,5.4,98,5.2,0.0,6.9,317,9.7,993.3,165.8,114.8,1747.0,52.4,44.5,24.0
2024-01-02 03:00:00,5.0,99,4.8,0.0,7.1,311,9.7,993.1,151.3,105.0,1559.0,44.1,36.1,29.0
2024-01-02 04:00:00,4.8,99,4.7,0.0,6.9,317,9.7,993.0,140.6,97.6,1410.0,36.9,31.3,33.0
2024-01-02 05:00:00,4.6,99,4.4,0.0,5.9,322,9.7,993.1,129.9,90.6,1246.0,28.2,25.1,44.0
2024-01-02 06:00:00,8.1,92,6.8,0.0,6.6,338,13.7,994.5,114.6,79.4,1200.0,26.3,26.4,54.0
2024-01-02 07:00:00,8.8,90,7.2,0.0,6.5,341,13.0,995.3,116.9,81.3,1135.0,23.8,28.4,69.0
2024-01-02 08:00:00,9.5,87,7.4,0.0,6.2,350,13.0,995.9,112.5,77.8,1077.0,21.9,31.1,83.0
2024-01-02 09:00:00,10.1,84,7.4,0.0,4.0,5,13.3,996.8,112.0,77.5,1035.0,21.4,35.0,94.0
2024-01-02 10:00:00,11.1,77,7.3,0.0,1.1,18,12.2,996.9,110.1,75.7,999.0,21.5,39.6,106.0
2024-01-02 11:00:00,12.3,72,7.3,0.0,0.7,360,10.8,995.9,108.7,74.5,967.0,21.6,43.9,120.0
2024-01-02 12:00:00,13.5,68,7.7,0.0,1.4,360,12.2,994.6,108.3,74.0,924.0,20.0,47.8,145.0
2024-01-02 13:00:00,14.6,65,8.1,0.0,2.2,351,13.0,993.5,106.2,72.4,885.0,18.4,51.4,172.0
2024-01-02 14:00:00,15.2,64,8.4,0.0,2.6,326,13.0,992.7,105.0,71.2,896.0,20.9,53.8,184.0
2024-01-02 15:00:00,15.4,63,8.4,0.0,4.1,322,13.0,992.2,105.2,71.5,957.0,30.2,53.1,169.0
2024-01-02 16:00:00,14.7,65,8.2,0.0,6.3,329,13.0,992.0,106.4,72.4,1069.0,43.5,51.2,138.0
2024-01-02 17:00:00,11.8,79,8.2,0.0,6.0,327,12.2,992.0,131.3,89.9,1275.0,58.7,54.4,107.0
2024-01-02 18:00:00,9.8,87,7.8,0.0,7.2,323,13.0,993.1,174.2,120.1,1762.0,73.5,70.2,80.0
2024-01-02 19:00:00,8.6,92,7.3,0.0,5.9,317,11.5,993.4,209.5,144.8,2430.0,93.7,91.6,43.0
2024-01-02 20:00:00,8.1,93,6.9,0.0,6.4,322,9.7,993.5,229.1,158.3,2899.0,106.5,104.6,16.0
2024-01-02 21:00:00,7.1,94,6.2,0.0,7.2,323,9.7,993.6,236.6,163.4,2996.0,105.9,102.4,8.0
2024-01-02 22:00:00,6.4,96,5.8,0.0,7.9,317,10.1,993.7,233.3,161.6,2895.0,97.8,91.7,11.0
2024-01-02 23:00:00,6.3,96,5.7,0.0,6.2,324,9.7,993.4,218.9,151.8,2740.0,88.0,79.2,14.0
2024-01-03 00:00:00,6.1,97,5.6,0.0,6.6,331,10.1,993.2,201.2,140.2,2542.0,76.9,65.1,16.0
2024-01-03 01:00:00,5.4,98,5.2,0.0,5.7,342,10.1,993.2,189.5,131.8,2291.0,63.9,49.1,19.0
2024-01-03 02:00:00,4.6,99,4.5,0.0,8.5,348,10.4,993.1,181.6,126.7,2098.0,53.0,37.1,22.0
2024-01-03 03:00:00,5.0,99,4.9,0.0,6.9,351,10.4,992.7,177.9,124.3,1996.0,45.4,31.8,24.0
2024-01-03 04:00:00,4.9,100,4.9,0.0,5.8,356,8.3,992.6,179.3,124.8,1952.0,39.9,30.5,27.0
2024-01-03 05:00:00,4.4,100,4.4,0.0,5.4,360,6.8,992.8,172.8,120.6,1737.0,30.3,23.5,38.0
2024-01-03 06:00:00,6.2,99,6.2,0.0,4.7,4,11.2,993.9,171.4,119.7,1752.0,31.2,25.7,39.0
2024-01-03 07:00:00,6.6,99,6.5,0.0,3.7,11,10.4,994.5,172.8,120.6,1767.0,32.5,29.1,43.0
